APA/USD,APA/USD_Apache_USD_EQUITY
IVZ/USD,IVZ/USD_Invesco_USD_EQUITY
UAL/USD,UAL/USD_United_USD_EQUITY
AAL/USD,AAL/USD_American Airlines Group_USD_EQUITY
IBM/USD,IBM/USD_IBM_USD_EQUITY
ALK/USD,ALK/USD_Alaska Air_USD_EQUITY
MMM/USD,MMM/USD_3M_USD_EQUITY
AMD/USD,AMD/USD_AMD_USD_EQUITY
MOS/USD,MOS/USD_Mosaic_USD_EQUITY
TWTR/USD,TWTR/USD_Twitter_USD_EQUITY
CSCO/USD,CSCO/USD_Cisco_USD_EQUITY
QCOM/USD,QCOM/USD_Qualcomm_USD_EQUITY
GOOGL/USD,GOOGL/USD_GOOGL_USD_EQUITY
TSLA/USD,TSLA/USD_Tesla_USD_EQUITY
HPQ/USD,HPQ/USD_HP_USD_EQUITY
HPE/USD,HPE/USD_Hewlett Packard_USD_EQUITY
PG/USD,PG/USD_Procter & Gamble_USD_EQUITY
PSX/USD,PSX/USD_Phillips_USD_EQUITY
TSN/USD,TSN/USD_Tyson Food_USD_EQUITY
VZ/USD,VZ/USD_Verizon_USD_EQUITY
LVS/USD,LVS/USD_Las Vegas Sands_USD_EQUITY
DVN/USD,DVN/USD_Devon_USD_EQUITY
HES/USD,HES/USD_Hess_USD_EQUITY
XEL/USD,XEL/USD_Xcel Energy_USD_EQUITY
GM/USD,GM/USD_General Motors Co_USD_EQUITY
GE/USD,GE/USD_General Electric Co_USD_EQUITY
PFE/USD,PFE/USD_Pfizer_USD_EQUITY
DAL/USD,DAL/USD_Delta Air_USD_EQUITY
DIS/USD,DIS/USD_Disney_USD_EQUITY
KO/USD,KO/USD_Coca Cola - USD_USD_EQUITY
XOM/USD,XOM/USD_Exxon Mobil_USD_EQUITY
MU/USD,"MU/USD_Micron Technology, Inc._USD_EQUITY"
MS/USD,MS/USD_Morgan Stanley_USD_EQUITY
MO/USD,MO/USD_Altria Group_USD_EQUITY
INTC/USD,INTC/USD_Intel_USD_EQUITY
SBUX/USD,SBUX/USD_Starbucks_USD_EQUITY
ABBV/USD,ABBV/USD_AbbVie_USD_EQUITY
ORCL/USD,ORCL/USD_Oracle_USD_EQUITY
EBAY/USD,EBAY/USD_eBay_USD_EQUITY
T/USD,T/USD_AT&T_USD_EQUITY
F/USD,F/USD_Ford Motor_USD_EQUITY
C/USD,C/USD_Citigroup_USD_EQUITY
STX/USD,STX/USD_Seagate_USD_EQUITY
LUMN/USD,LUMN/USD_Lumen Technologies_USD_EQUITY
OXY/USD,OXY/USD_Occidental Petroleum_USD_EQUITY
NLOK/USD,NLOK/USD_NortonLifeLock_USD_EQUITY
WBA/USD,WBA/USD_Walgreen_USD_EQUITY
CCL/USD,CCL/USD_Carl - USD_USD_EQUITY
WDC/USD,WDC/USD_Western Digital_USD_EQUITY
KHC/USD,KHC/USD_Kraft Food_USD_EQUITY
SLB/USD,SLB/USD_Schlumberger_USD_EQUITY
WMT/USD,WMT/USD_Walmart_USD_EQUITY
KMI/USD,KMI/USD_Kinder Morgan_USD_EQUITY
WMB/USD,WMB/USD_Williams_USD_EQUITY
PYPL/USD,PYPL/USD_PayPal_USD_EQUITY
AMZN/USD,AMZN/USD_Amazon_USD_EQUITY
CMCSA/USD,CMCSA/USD_Comcast_USD_EQUITY
HAL/USD,HAL/USD_Halliburton_USD_EQUITY
GILD/USD,GILD/USD_Gilead_USD_EQUITY
JPM/USD,JPM/USD_JP Morgan_USD_EQUITY
